"File","Count"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\design-system\page.tsx","37"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\home\page.tsx","30"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\design-library\page.tsx","30"
"D:\AI_workspace\flowPack\flowPack\app\components\layouts\style-changer.tsx","23"
"D:\AI_workspace\flowPack\flowPack\app\app\page.tsx","22"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\features\page.tsx","16"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\content\[id]\edit\page.tsx","10"
"D:\AI_workspace\flowPack\flowPack\app\components\layouts\sidebar.tsx","10"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\media\media-client.tsx","9"
"D:\AI_workspace\flowPack\flowPack\app\components\layouts\top-bar.tsx","8"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\carousel-lab\page.tsx","8"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\contents\contents-client.tsx","7"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\contact\page.tsx","6"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\content\[id]\view\page.tsx","6"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\ai\longform\page.tsx","6"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\pricing\page.tsx","6"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\instructions\page.tsx","6"
"D:\AI_workspace\flowPack\flowPack\app\app\(admin)\admin\contents\contents-client.tsx","5"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\register\page.tsx","5"
"D:\AI_workspace\flowPack\flowPack\app\components\layouts\public-header.tsx","5"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\login\login-form.tsx","5"
"D:\AI_workspace\flowPack\flowPack\app\components\features\integration-guide-modal.tsx","4"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\gallery\page.tsx","4"
"D:\AI_workspace\flowPack\flowPack\app\components\blocks\testimonial-card.tsx","3"
"D:\AI_workspace\flowPack\flowPack\app\components\features\content\tiptap-editor.tsx","3"
"D:\AI_workspace\flowPack\flowPack\app\components\features\wordpress-connect-modal.tsx","3"
"D:\AI_workspace\flowPack\flowPack\app\components\blocks\cta-banner.tsx","3"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\ai\bulk-generate\page.tsx","2"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\ai\bulk-link-to-post\page.tsx","2"
"D:\AI_workspace\flowPack\flowPack\app\components\layouts\public-footer.tsx","2"
"D:\AI_workspace\flowPack\flowPack\app\app\(public)\cases\page.tsx","2"
"D:\AI_workspace\flowPack\flowPack\app\components\ui\button.tsx","2"
"D:\AI_workspace\flowPack\flowPack\app\tailwind.config.ts","2"
"D:\AI_workspace\flowPack\flowPack\app\components\charts\content-flow-sankey.tsx","2"
"D:\AI_workspace\flowPack\flowPack\app\components\common\page-spinner.tsx","2"
"D:\AI_workspace\flowPack\flowPack\app\components\ui\dialog.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\components\blocks\problem-card.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\app\(admin)\admin\users\users-client.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\components\features\content\markdown-preview.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\components\common\stat-card.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\components\blocks\feature-card.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\calendar\page.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\components\features\notification-dropdown.tsx","1"
"D:\AI_workspace\flowPack\flowPack\app\app\(app)\settings\profile\page.tsx","1"
